Account Name,nsbi_sector,Deal Type,NSBI Financial Contribution (Commitment/Announced),Place Name,nsbi_county,PostalCode,fiscal year,Longitude,Latitude,New Georeferenced Column
Innovative Fishery Products Inc,Fish & Seafood Processing,Export Growth Program,1515,Belliveau Cove,Digby,B0W1J0,2018 - 2019,-66.072105,44.357602,POINT (-66.072105 44.357602)
ITO Seafoods Ltd,Fish & Seafood Processing,Export Growth Program,7400,Halifax,Halifax Regional Municipality,B3J3R3,2018 - 2019,-63.56899455,44.64269727,POINT (-63.56899455 44.64269727)
Momentum IT Group,ICT (includes Digital Media),Export Growth Program,10566,Halifax,Halifax Regional Municipality,B3J1Y2,2018 - 2019,-63.570421,44.64012,POINT (-63.570421 44.64012)
Nautical Seafoods Ltd,Fish & Seafood Processing,Export Growth Program,1950,Clementsport,Annapolis,B0S1K0,2018 - 2019,-65.744945,44.705351,POINT (-65.744945 44.705351)
Prism Tradeshow Products Inc.,Advanced Manufacturing,Export Growth Program,14625,Dartmouth,Halifax Regional Municipality,B2Y4M9,2018 - 2019,-63.542698,44.660305,POINT (-63.542698 44.660305)
"Sufata Software Solutions, Inc",ICT (includes Digital Media),Export Growth Program,14537,Hammonds Plains,Halifax Regional Municipality,B4B1E4,2018 - 2019,-63.740718,44.725204,POINT (-63.740718 44.725204)
Trip Ninja,ICT (includes Digital Media),Export Growth Program,3750,Halifax,Halifax Regional Municipality,B3J2V1,2018 - 2019,-63.645986,44.648416,POINT (-63.645986 44.648416)
Uplift Content Inc,ICT (includes Digital Media),Export Growth Program,5750,Dartmouth,Halifax Regional Municipality,B2Y2G6,2018 - 2019,-63.553251,44.661883,POINT (-63.553251 44.661883)
Verb Interactive Inc.,Business Services,Export Growth Program,14970,Halifax,Halifax Regional Municipality,B3J2A2,2018 - 2019,-63.573726,44.646512,POINT (-63.573726 44.646512)
Wired Flare Inc,Business Services,Export Growth Program,9412,Dartmouth,Halifax Regional Municipality,B2V1N4,2018 - 2019,-63.456788,44.681162,POINT (-63.456788 44.681162)
Ocean Entertainment Ltd.,Film Production,Export Growth Program,15000,Halifax,Halifax Regional Municipality,B3K4T9,2018 - 2019,-63.593521,44.650817,POINT (-63.593521 44.650817)
Pisces Research Project Management Inc,Business Services,Export Growth Program,2065,Halifax,Halifax Regional Municipality,B3K2L9,2018 - 2019,-63.603725,44.669255,POINT (-63.603725 44.669255)
Survival Systems Ltd,Oceans Technology,Export Growth Program,7390,Dartmouth,Halifax Regional Municipality,B2Y4W6,2018 - 2019,-63.539046,44.6562,POINT (-63.539046 44.6562)
Web Builders Group Inc,ICT (includes Digital Media),Export Growth Program,10350,New Glasgow,Pictou,B2H2P6,2018 - 2019,-62.644931,45.587924,POINT (-62.644931 45.587924)
HB Studios Multimedia Ltd,ICT (includes Digital Media),Export Growth Program,15000,New Germany,Lunenburg,B0R1E0,2018 - 2019,-64.620343,44.469069,POINT (-64.620343 44.469069)
Dartmouth Metals and Bottle Limited,Advanced Manufacturing,Innovation Rebate Program,596613,Dartmouth,Halifax Regional Municipality,B3B1H9,2018 - 2019,-63.607766,44.702958,POINT (-63.607766 44.702958)
"Kenney & Ross, Limited",Advanced Manufacturing,Innovation Rebate Program,636884,Shelburne,Shelburne,B0T1W0,2018 - 2019,-65.41816,43.66134,POINT (-65.41816 43.66134)
Ocean Crisp Apple Company Incorporated,Agri-food,Innovation Rebate Program,1168766,Kentville,Kings,B4N3V7,2018 - 2019,-64.547804,45.067163,POINT (-64.547804 45.067163)
Surrette Battery Company Limited,Advanced Manufacturing,Innovation Rebate Program,1200248,Springhill,Cumberland,B0M1X0,2018 - 2019,-64.034548,45.664595,POINT (-64.034548 45.664595)
Benjamin Bridge Vineyards,Agri-food,Innovation Rebate Program,1317375,Wolfville,Kings,B4P2R1,2018 - 2019,-64.403589,45.013938,POINT (-64.403589 45.013938)
John Ross & Sons Ltd.,Advanced Manufacturing,Innovation Rebate Program,1070296,Halifax,Halifax Regional Municipality,B3S1B3,2018 - 2019,-63.663711,44.637971,POINT (-63.663711 44.637971)
Maritime Labels & Packaging,Advanced Manufacturing,Innovation Rebate Program,540335,Bedford,Halifax Regional Municipality,B4B1G7,2018 - 2019,-63.707864,44.725286,POINT (-63.707864 44.725286)
Kohltech International Ltd,Advanced Manufacturing,Innovation Rebate Program,843388,Debert,Colchester,B0M1G0,2018 - 2019,-63.531392,45.468637,POINT (-63.531392 45.468637)
Agropur Cooperative,Agri-food,Innovation Rebate Program,1843776,Truro,Colchester,B2N6W9,2018 - 2019,-63.28926512,45.34069389,POINT (-63.28926512 45.34069389)
Scotian Gold Cooperative Ltd,Agri-food,Innovation Rebate Program,477333,Coldbrook,Kings,B4R1A6,2018 - 2019,-64.5855291,45.0650474,POINT (-64.5855291 45.0650474)
Oxford Frozen Foods Ltd,Agri-food,Innovation Rebate Program,702205,Oxford,Cumberland,B0M1P0,2018 - 2019,-63.849946,45.810473,POINT (-63.849946 45.810473)
Michelin North America (Canada) Inc - Granton,Advanced Manufacturing,Innovation Rebate Program,3569500,New Glasgow,Pictou,B2H5E6,2018 - 2019,-62.639785,45.609213,POINT (-62.639785 45.609213)
AF Theriault & Son Ltd.,Advanced Manufacturing,Innovation Rebate Program,1536878,Meteghan River,Digby,B0W2L0,2018 - 2019,-66.119502,44.221552,POINT (-66.119502 44.221552)
Kilo Communications Inc,ICT (includes Digital Media),P&I Voucher,15000,Halifax,Halifax Regional Municipality,B3K1N1,2018 - 2019,-63.592032,44.656647,POINT (-63.592032 44.656647)
The Lobster Trap Company Limited,Oceans Technology,P&I Voucher,25000,Yarmouth,Yarmouth,B5A4B4,2018 - 2019,-66.118319,43.842674,POINT (-66.118319 43.842674)
Airesun Global Limited,Chemicals & Plastics,P&I Voucher,15000,Glace Bay,Cape Breton,B1A4S6,2018 - 2019,-59.991669,46.206353,POINT (-59.991669 46.206353)
Hivetronics Limited,Agri-food,P&I Voucher,15000,Dartmouth,Halifax Regional Municipality,B2W4Z3,2018 - 2019,-63.503976,44.686741,POINT (-63.503976 44.686741)
Photodynamic Incorporated,Life Sciences,P&I Voucher,25000,Halifax,Halifax Regional Municipality,B3H1A8,2018 - 2019,-63.573789,44.624478,POINT (-63.573789 44.624478)
NeoThermal Energy Storage Inc,Energy,P&I Voucher,15000,Bridgewater,Lunenburg,B4V1P4,2018 - 2019,-64.523942,44.378324,POINT (-64.523942 44.378324)
Scotia Garden Seafoods Inc,Fish & Seafood Processing,P&I Voucher,15000,Yarmouth,Yarmouth,B5A4B1,2018 - 2019,-66.121483,43.816747,POINT (-66.121483 43.816747)
Axem Neurotechnology Inc.,Life Sciences,P&I Voucher,15000,Halifax,Halifax Regional Municipality,B3J3K5,2018 - 2019,-63.572554,44.644489,POINT (-63.572554 44.644489)
Focal Research Consultants Limited,Business Services,P&I Voucher,25000,Halifax,Halifax Regional Municipality,B3L2C2,2018 - 2019,-63.627898,44.653612,POINT (-63.627898 44.653612)
Nova Aquaponics Incorporated,Advanced Manufacturing,P&I Voucher,25000,Halifax,Halifax Regional Municipality,B3M3Y8,2018 - 2019,-63.667551,44.676453,POINT (-63.667551 44.676453)
FoodByte Inc,ICT (includes Digital Media),P&I Voucher,15000,Wolfville,Kings,B4P2R6,2018 - 2019,-64.36820119,45.0890494,POINT (-64.36820119 45.0890494)
Louisbourg Seafoods Ltd,Fish & Seafood Processing,P&I Voucher,15000,Louisbourg,Cape Breton,B1C1B5,2018 - 2019,-59.97144562,45.91905461,POINT (-59.97144562 45.91905461)
Baie Run Pet Products Inc,Agri-food,P&I Voucher,15000,Halifax,Halifax Regional Municipality,B3J3N2,2018 - 2019,-63.57606155,44.65201157,POINT (-63.57606155 44.65201157)
Dugo Systems Inc,ICT (includes Digital Media),P&I Voucher,25000,Halifax,Halifax Regional Municipality,B3J3K5,2018 - 2019,-63.572554,44.644489,POINT (-63.572554 44.644489)
Aurea Technologies Inc,Energy,P&I Voucher,15000,Glen Haven,Halifax Regional Municipality,B3Z2V7,2018 - 2019,-63.740414,44.657359,POINT (-63.740414 44.657359)
D.M.R. Boat Design Limited,Oceans Technology,P&I Voucher,15000,Whites Lake,Halifax Regional Municipality,B3T1X3,2018 - 2019,-63.737267,44.507267,POINT (-63.737267 44.507267)
Cape Breton Bivalve Inc,Fish & Seafood Processing,P&I Voucher,15000,Louisbourg,Cape Breton,B1C2L8,2018 - 2019,-59.976684,45.918232,POINT (-59.976684 45.918232)
Velsoft Training Materials Inc,ICT (includes Digital Media),P&I Voucher,15000,New Glasgow,Pictou,B2H2P8,2018 - 2019,-62.64523,45.587057,POINT (-62.64523 45.587057)
Grey Lit Matters Inc,ICT (includes Digital Media),P&I Voucher,15000,Halifax,Halifax Regional Municipality,B3P1A8,2018 - 2019,-63.608219,44.630968,POINT (-63.608219 44.630968)
F L Action/Reaction Sports,Advanced Manufacturing,P&I Voucher,25000,Arcadia,Yarmouth,B0W1B0,2018 - 2019,-65.994395,43.749188,POINT (-65.994395 43.749188)
Heritage Memorials Limited,Agri-food,P&I Voucher,25000,Windsor,Hants,B0N2T0,2018 - 2019,-64.318054,44.819594,POINT (-64.318054 44.819594)
Boxing Rock Brewing Co,Advanced Manufacturing,P&I Voucher,15000,Shelburne,Shelburne,B0T1W0,2018 - 2019,-65.41816,43.66134,POINT (-65.41816 43.66134)
The 7 Virtues Beauty Inc,Advanced Manufacturing,P&I Voucher,25000,Halifax,Halifax Regional Municipality,B3H1B1,2018 - 2019,-63.574296,44.624597,POINT (-63.574296 44.624597)
Duckish Natural Skin Care Limited,Advanced Manufacturing,P&I Voucher,25000,Halifax,Halifax Regional Municipality,B3L1K1,2018 - 2019,-63.595101,44.649822,POINT (-63.595101 44.649822)
Chelation Partners Incorporated,Life Sciences,P&I Voucher,25000,Halifax,Halifax Regional Municipality,B3H3Z1,2018 - 2019,-63.59645,44.637136,POINT (-63.59645 44.637136)
Dykeview Farms Limited,Agri-food,P&I Voucher,15000,Centreville,Kings,B0P1J0,2018 - 2019,-64.680474,45.195976,POINT (-64.680474 45.195976)
Fundy Hops,Agri-food,P&I Voucher,15000,Waterville,Kings,B0P1V0,2018 - 2019,-64.689373,45.149172,POINT (-64.689373 45.149172)
Atlantick Repellent Products Inc.,Chemicals & Plastics,P&I Voucher,25000,Mahone Bay,Lunenburg,B0J2E0,2018 - 2019,-64.307402,44.308292,POINT (-64.307402 44.308292)
Saltbox Brewing Company,Agri-food,P&I Voucher,25000,Mahone Bay,Lunenburg,B0J2E0,2018 - 2019,-64.307402,44.308292,POINT (-64.307402 44.308292)
Sea-Pur Seaweed Products,Agri-food,P&I Voucher,15000,Sydney,Cape Breton,B1S3S4,2018 - 2019,-60.18298,46.110635,POINT (-60.18298 46.110635)
Alto Solar,Energy,P&I Voucher,15000,Halifax,Halifax Regional Municipality,B3L1P9,2018 - 2019,-63.599844,44.652427,POINT (-63.599844 44.652427)
Natural Ocean Products Inc.,ICT (includes Digital Media),P&I Voucher,25000,Halifax,Halifax Regional Municipality,B3V1L9,2018 - 2019,-63.62997,44.469104,POINT (-63.62997 44.469104)
RGI Logistics & Technology Inc.,Advanced Manufacturing,P&I Voucher,15000,New Waterford,Cape Breton,B1H3R7,2018 - 2019,-60.09051595,46.2412227,POINT (-60.09051595 46.2412227)
L'Acadie Vineyards,Agri-food,P&I Voucher,15000,Wolfville,Kings,B4P2R1,2018 - 2019,-64.403589,45.013938,POINT (-64.403589 45.013938)
Stevens Solutions & Design Inc,Advanced Manufacturing,P&I Voucher,15000,Mahone Bay,Lunenburg,B0J2E0,2018 - 2019,-64.307402,44.308292,POINT (-64.307402 44.308292)
Bear River Vineyards Ltd.,Agri-food,P&I Voucher,15000,Bear River,Digby,B0S1B0,2018 - 2019,-65.610454,44.554357,POINT (-65.610454 44.554357)
Deprolabs Technology Inc.,ICT (includes Digital Media),P&I Voucher,15000,Halifax,Halifax Regional Municipality,B3S1G5,2018 - 2019,-63.673695,44.672237,POINT (-63.673695 44.672237)
EOceans Research and Consulting Inc.,Oceans Technology,P&I Voucher,15000,Dartmouth,Halifax Regional Municipality,B2Y1T7,2018 - 2019,-63.555147,44.674503,POINT (-63.555147 44.674503)
Mermaid Fare Inc,Agri-food,P&I Voucher,15000,Dartmouth,Halifax Regional Municipality,B2Y2W1,2018 - 2019,-63.56358,44.667535,POINT (-63.56358 44.667535)
ColorSmith,Life Sciences,P&I Voucher,15000,Halifax,Halifax Regional Municipality,B3H1T1,2018 - 2019,-63.58619,44.636159,POINT (-63.58619 44.636159)
Bear Cove Resources,Advanced Manufacturing,P&I Voucher,15000,Brooklyn,Lunenburg,B0J1H0,2018 - 2019,-64.710851,44.055473,POINT (-64.710851 44.055473)
Defenzall Therapeutics Inc.,Life Sciences,P&I Voucher,15000,Fletchers Lake,Halifax Regional Municipality,B2T1A5,2018 - 2019,-63.60358426,44.8481452,POINT (-63.60358426 44.8481452)
Finleaf Technologies Inc.,Agri-food,P&I Voucher,15000,Bedford,Halifax Regional Municipality,B4A1E6,2018 - 2019,-63.657959,44.731599,POINT (-63.657959 44.731599)
Stones Pharmacy,Life Sciences,P&I Voucher,25000,Baddeck,Victoria,B0E1B0,2018 - 2019,-60.751528,46.100472,POINT (-60.751528 46.100472)
Propel BioEnergy LTD.,Energy,P&I Voucher,15000,Dartmouth,Halifax Regional Municipality,B2X2A5,2018 - 2019,-63.536483,44.693342,POINT (-63.536483 44.693342)
Graphite Innovation and Technologies Inc.,Advanced Manufacturing,P&I Voucher,25000,Dartmouth,Halifax Regional Municipality,B2Y4M9,2018 - 2019,-63.542698,44.660305,POINT (-63.542698 44.660305)
Apaqtaukewaq Fishery Co-op,Fish & Seafood Processing,P&I Voucher,15000,St Peters,Richmond,B0E3B0,2018 - 2019,-60.957559,45.620463,POINT (-60.957559 45.620463)
PPT Labs Inc.,ICT (includes Digital Media),P&I Voucher,25000,Halifax,Halifax Regional Municipality,B3K3T7,2018 - 2019,-63.58727,44.652558,POINT (-63.58727 44.652558)
Surrette Battery Company Limited,Advanced Manufacturing,P&I Voucher,25000,Springhill,Cumberland,B0M1X0,2018 - 2019,-64.034548,45.664595,POINT (-64.034548 45.664595)
The Soap Company of Nova Scotia Ltd,Advanced Manufacturing,P&I Voucher,15000,Sherbrooke,Guysborough,B0J3C0,2018 - 2019,-62.026841,45.193706,POINT (-62.026841 45.193706)
Tony's Meats Ltd,Agri-food,P&I Voucher,15000,Antigonish,Antigonish,B2G2L2,2018 - 2019,-61.944846,45.654903,POINT (-61.944846 45.654903)
NovaResp Technologies Inc.,ICT (includes Digital Media),P&I Voucher,15000,Halifax,Halifax Regional Municipality,B3H4R4,2018 - 2019,-63.56954723,44.63642004,POINT (-63.56954723 44.63642004)
Elcora Advanced Materials Corp,Energy,P&I Voucher,25000,Bedford,Halifax Regional Municipality,B4A2T3,2018 - 2019,-63.646705,44.737949,POINT (-63.646705 44.737949)
Yarmouth Bar Fisheries Limited,Fish & Seafood Processing,P&I Voucher,15000,Yarmouth,Yarmouth,B5A4A7,2018 - 2019,-66.13783,43.83244,POINT (-66.13783 43.83244)
Midgard Insect Farm Inc,Agri-food,P&I Voucher,25000,Halifax,Halifax Regional Municipality,B3L1V1,2018 - 2019,-63.602803,44.654196,POINT (-63.602803 44.654196)
Green Power Labs Inc,Energy,P&I Voucher,25000,Dartmouth,Halifax Regional Municipality,B2Y4M9,2018 - 2019,-63.542698,44.660305,POINT (-63.542698 44.660305)
Spritely Technologies Inc,ICT (includes Digital Media),P&I Voucher,25000,Halifax,Halifax Regional Municipality,B3S1E5,2018 - 2019,-63.665971,44.662523,POINT (-63.665971 44.662523)
LED Roadway Lighting Ltd,Advanced Manufacturing,P&I Voucher,15000,Halifax,Halifax Regional Municipality,B3S1B3,2018 - 2019,-63.663711,44.637971,POINT (-63.663711 44.637971)
Copol International Ltd.,Advanced Manufacturing,P&I Voucher,15000,North Sydney,Cape Breton,B2A3M4,2018 - 2019,-60.24105,46.237929,POINT (-60.24105 46.237929)
PitchPerfect Software Inc. operating as Proposify,ICT (includes Digital Media),Payroll Rebate,1057400,Halifax,Halifax Regional Municipality,B3J2A2,2018 - 2019,-63.573726,44.646512,POINT (-63.573726 44.646512)
Introhive Services (NS) Inc.,ICT (includes Digital Media),Payroll Rebate,691800,Timberlea,Halifax Regional Municipality,B3T1C4,2018 - 2019,-63.72337595,44.64997307,POINT (-63.72337595 44.64997307)
The Sydney Call Centre Inc.,ICT (includes Digital Media),Payroll Rebate,2475000,Sydney,Halifax Regional Municipality,B1P1W8,2018 - 2019,-60.18146341,46.14405113,POINT (-60.18146341 46.14405113)
REDspace Inc,ICT (includes Digital Media),Payroll Rebate,1497500,Bedford,Halifax Regional Municipality,B4A1E5,2018 - 2019,-63.66024,44.731123,POINT (-63.66024 44.731123)
Influitive Corporation,ICT (includes Digital Media),Payroll Rebate,448000,,Halifax Regional Municipality,,2018 - 2019,,,
Savormetrics Inc.,ICT (includes Digital Media),Payroll Rebate,619650,Halifax,Halifax Regional Municipality,B3J2X2,2018 - 2019,-63.645986,44.648416,POINT (-63.645986 44.648416)
Monkedia LLC,ICT (includes Digital Media),Payroll Rebate,610350,Dartmouth,Halifax Regional Municipality,B2Y4J2,2018 - 2019,-63.552011,44.678941,POINT (-63.552011 44.678941)
Manulife Financial,Finance & Insurance,Payroll Rebate,0,Halifax,Halifax Regional Municipality,B3L4G6,2018 - 2019,-63.623007,44.643294,POINT (-63.623007 44.643294)
Dilytics,ICT (includes Digital Media),Payroll Rebate,0,Dartmouth,Halifax Regional Municipality,B3B1N1,2018 - 2019,-63.604559,44.709923,POINT (-63.604559 44.709923)
BeyondTrust Software Inc.,ICT (includes Digital Media),Payroll Rebate,3120563,Halifax,Halifax Regional Municipality,B3J3N4,2018 - 2019,-63.57347352,44.64895408,POINT (-63.57347352 44.64895408)
10380008 Canada Inc dba MobSquad,ICT (includes Digital Media),Payroll Rebate,2084800,Halifax,Halifax Regional Municipality,B3K5T8,2018 - 2019,-63.581038,44.652525,POINT (-63.581038 44.652525)
Gael Force Group,Oceans Technology,Project Management,0,East Bay,Halifax Regional Municipality,B0A1H0,2018 - 2019,-60.446479,45.850577,POINT (-60.446479 45.850577)
Sensor Technology Ltd,Oceans Technology,Project Management,0,Dartmouth,Halifax Regional Municipality,B2Y4T5,2018 - 2019,-63.556475,44.661861,POINT (-63.556475 44.661861)
Columbus AI,ICT (includes Digital Media),Project Management,0,,Halifax Regional Municipality,,2018 - 2019,,,
Accenture Canada,ICT (includes Digital Media),Project Management,0,Halifax,Halifax Regional Municipality,B3J3k5,2018 - 2019,-63.572554,44.644489,POINT (-63.572554 44.644489)
Propipe UK,Oceans Technology,Project Management,0,Halifax,Halifax Regional Municipality,B3J3N4,2018 - 2019,-63.57347352,44.64895408,POINT (-63.57347352 44.64895408)
Invisible Agents,ICT (includes Digital Media),Project Management,0,Halifax,Halifax Regional Municipality,B3J3N2,2018 - 2019,-63.57606155,44.65201157,POINT (-63.57606155 44.65201157)
Nova Innovation,Energy,Project Management,0,Halifax,Halifax Regional Municipality,B3L2C1,2018 - 2019,-63.623858,44.653361,POINT (-63.623858 44.653361)
Sea Harvest Seafood (2019) Ltd,Fish & Seafood Processing,Trade Mission (Incoming),0,Hubley,Halifax Regional Municipality,B3Z0A2,2018 - 2019,-63.789083,44.663635,POINT (-63.789083 44.663635)
Adadem Import and Export,Business Services,Trade Mission (Incoming),0,Halifax,Halifax Regional Municipality,B3N1B9,2018 - 2019,-63.620793,44.634023,POINT (-63.620793 44.634023)
Amos And Andy Fisheries Limited,Fish & Seafood Processing,Trade Mission (Incoming),0,Sambro Head,Halifax Regional Municipality,B3V1L2,2018 - 2019,-63.5834154,44.4838879,POINT (-63.5834154 44.4838879)
Caldera Distilling Inc.,Agri-food,Trade Mission (Incoming),0,River John,Pictou,B0K1N0,2018 - 2019,-63.041939,45.747988,POINT (-63.041939 45.747988)
Clever Fruit Products,Not Coded,Trade Mission (Incoming),0,Antigonish,Halifax Regional Municipality,B2G2P9,2018 - 2019,-61.909827,45.546171,POINT (-61.909827 45.546171)
Fair Grant Writing,Not Coded,Trade Mission (Incoming),0,Richmond Hill,Not Applicable / Unknown,L4C3C7,2018 - 2019,-79.440467,43.885336,POINT (-79.440467 43.885336)
Famolex Integrated Consult Limited,Business Services,Trade Mission (Incoming),0,Halifax,Halifax Regional Municipality,B3M3Y7,2018 - 2019,-63.653935,44.66328,POINT (-63.653935 44.66328)
Globiz Innovation Inc.,Business Services,Trade Mission (Incoming),0,Halifax,Halifax Regional Municipality,B3M1G9,2018 - 2019,-63.647579,44.654692,POINT (-63.647579 44.654692)
InnovaSea Marine Systems Canada Inc DBA Vemco,ICT (includes Digital Media),Trade Mission (Incoming),0,Hammonds Plains,Halifax Regional Municipality,B4B1L9,2018 - 2019,-63.754376,44.700635,POINT (-63.754376 44.700635)
Louisbourg Seafoods Ltd,Fish & Seafood Processing,Trade Mission (Incoming),0,Louisbourg,Cape Breton,B1C1B5,2018 - 2019,-59.97144562,45.91905461,POINT (-59.97144562 45.91905461)
McInnes Cooper,Not Coded,Trade Mission (Incoming),0,Halifax,Halifax Regional Municipality,B3J2V1,2018 - 2019,-63.645986,44.648416,POINT (-63.645986 44.648416)
Muwin Estate Wines Ltd,Agri-food,Trade Mission (Incoming),0,New Ross,Lunenburg,B0J2M0,2018 - 2019,-63.916747,44.706544,POINT (-63.916747 44.706544)
Sea Star Seafoods Limited,Fish & Seafood Processing,Trade Mission (Incoming),0,Clarks Harbour,Shelburne,B0W1P0,2018 - 2019,-65.650454,43.462969,POINT (-65.650454 43.462969)
Velsoft Training Materials Inc,ICT (includes Digital Media),Trade Mission (Incoming),0,New Glasgow,Pictou,B2H2P8,2018 - 2019,-62.64523,45.587057,POINT (-62.64523 45.587057)
VitaMed Inc,Life Sciences,Trade Mission (Incoming),0,Bedford,Halifax Regional Municipality,B4A1G5,2018 - 2019,-63.670275,44.709158,POINT (-63.670275 44.709158)
GeoSpectrum Technologies Incorporated,Oceans Technology,Trade Mission (Incoming),0,Dartmouth,Halifax Regional Municipality,B3B1J4,2018 - 2019,-63.611144,44.704132,POINT (-63.611144 44.704132)
Institute for Big Data Analytics,Not Coded,Trade Mission (Incoming),0,Halifax,Halifax Regional Municipality,B3H4R2,2018 - 2019,-63.59641358,44.63705044,POINT (-63.59641358 44.63705044)
Jasco Applied Sciences (Canada) Ltd,Oceans Technology,Trade Mission (Incoming),0,Dartmouth,Halifax Regional Municipality,B3B1Z1,2018 - 2019,-63.584818,44.709741,POINT (-63.584818 44.709741)
Kraken Robotics Inc.,Aerospace & Defence,Trade Mission (Incoming),0,Dartmouth,Halifax Regional Municipality,B3B1T3,2018 - 2019,-63.610623,44.703069,POINT (-63.610623 44.703069)
Metamaterial Technologies Inc,Advanced Manufacturing,Trade Mission (Incoming),0,Dartmouth,Halifax Regional Municipality,B2Y4M9,2018 - 2019,-63.542698,44.660305,POINT (-63.542698 44.660305)
MetOcean Telematics Limited,Oceans Technology,Trade Mission (Incoming),0,Dartmouth,Halifax Regional Municipality,B3B1R9,2018 - 2019,-63.595049,44.699403,POINT (-63.595049 44.699403)
Modest Tree Media Inc,ICT (includes Digital Media),Trade Mission (Incoming),0,Halifax,Halifax Regional Municipality,B3K2R6,2018 - 2019,-63.613967,44.665253,POINT (-63.613967 44.665253)
Acadian Maple Products Ltd,Agri-food,Trade Mission (Incoming),0,Upper Tantallon,Halifax Regional Municipality,B3Z2J2,2018 - 2019,-63.887556,44.684635,POINT (-63.887556 44.684635)
Acadian Seaplants Limited / Les Algues Acadiennes Limitee,Life Sciences,Trade Mission (Incoming),0,Dartmouth,Halifax Regional Municipality,B3B1X8,2018 - 2019,-63.596395,44.696321,POINT (-63.596395 44.696321)
Baie Run Pet Products Inc,Agri-food,Trade Mission (Incoming),0,Halifax,Halifax Regional Municipality,B3J3N2,2018 - 2019,-63.57606155,44.65201157,POINT (-63.57606155 44.65201157)
Boxing Rock Brewing Co,Advanced Manufacturing,Trade Mission (Incoming),0,Shelburne,Shelburne,B0T1W0,2018 - 2019,-65.41816,43.66134,POINT (-65.41816 43.66134)
Caldera Distilling Inc.,Agri-food,Trade Mission (Incoming),0,River John,Pictou,B0K1N0,2018 - 2019,-63.041939,45.747988,POINT (-63.041939 45.747988)
Cedar Bay Grilling Company,Fish & Seafood Processing,Trade Mission (Incoming),0,Hubbards,Lunenburg,B0J1T0,2018 - 2019,-64.05186,44.643217,POINT (-64.05186 44.643217)
Classic Fine Foods,Agri-food,Trade Mission (Incoming),0,Edwardsville,Cape Breton,B2A4S6,2018 - 2019,-60.22160264,46.15678026,POINT (-60.22160264 46.15678026)
Galloping Cows Fine Foods,Agri-food,Trade Mission (Incoming),0,Port Hood,Inverness,B0E2W0,2018 - 2019,-61.53185,46.01684,POINT (-61.53185 46.01684)
Hailmar Investments Limited,Fish & Seafood Processing,Trade Mission (Incoming),0,Lockeport,Shelburne,B0T1L0,2018 - 2019,-65.12347,43.71839,POINT (-65.12347 43.71839)
Hutchinson Maple (Hutchinson Acres Inc) (Pure Infused Maple Syrup),Agri-food,Trade Mission (Incoming),0,Aylesford,Kings,B0P1C0,2018 - 2019,-64.800737,45.066995,POINT (-64.800737 45.066995)
Louisbourg Seafoods Ltd,Fish & Seafood Processing,Trade Mission (Incoming),0,Louisbourg,Cape Breton,B1C1B5,2018 - 2019,-59.97144562,45.91905461,POINT (-59.97144562 45.91905461)
Muwin Estate Wines Ltd,Agri-food,Trade Mission (Incoming),0,New Ross,Lunenburg,B0J2M0,2018 - 2019,-63.916747,44.706544,POINT (-63.916747 44.706544)
Peace by Chocolate Inc.,Agri-food,Trade Mission (Incoming),0,Antigonish,Antigonish,B2G2G8,2018 - 2019,-61.97936724,45.62856001,POINT (-61.97936724 45.62856001)
Sea Star Seafoods Limited,Fish & Seafood Processing,Trade Mission (Incoming),0,Clarks Harbour,Shelburne,B0W1P0,2018 - 2019,-65.650454,43.462969,POINT (-65.650454 43.462969)
The Tea Brewery,Agri-food,Trade Mission (Incoming),0,Mahone Bay,Lunenburg,B0J2E0,2018 - 2019,-64.307402,44.308292,POINT (-64.307402 44.308292)
Van Dyk's Health Juice Products Ltd,Advanced Manufacturing,Trade Mission (Incoming),0,Caledonia,Queens,B0T1B0,2018 - 2019,-65.019781,44.378101,POINT (-65.019781 44.378101)
VitaMed Inc,Life Sciences,Trade Mission (Incoming),0,Bedford,Halifax Regional Municipality,B4A1G5,2018 - 2019,-63.670275,44.709158,POINT (-63.670275 44.709158)
Luckett Vineyards (Luckett Farms Limited),Agri-food,Trade Mission (Incoming),0,Wolfville,Kings,B4P2R3,2018 - 2019,-64.348807,45.068884,POINT (-64.348807 45.068884)
GeoSpectrum Technologies Incorporated,Oceans Technology,Trade Mission (Incoming),0,Dartmouth,Halifax Regional Municipality,B3B1J4,2018 - 2019,-63.611144,44.704132,POINT (-63.611144 44.704132)
Benjamin Bridge Vineyards,Agri-food,Trade Mission (Incoming),0,Wolfville,Kings,B4P2R1,2018 - 2019,-64.403589,45.013938,POINT (-64.403589 45.013938)
Blomidon Estate Winery,Agri-food,Trade Mission (Incoming),0,Canning,Kings,B0P1H0,2018 - 2019,-64.165254,45.026806,POINT (-64.165254 45.026806)
Devonian Coast Wineries Ltd  (DCW),Agri-food,Trade Mission (Incoming),0,Malagash,Cumberland,B0K1E0,2018 - 2019,-63.453043,45.794472,POINT (-63.453043 45.794472)
Domaine de Grand Pre,Agri-food,Trade Mission (Incoming),0,Grand Pre,Kings,B0P1M0,2018 - 2019,-64.285653,45.095031,POINT (-64.285653 45.095031)
L'Acadie Vineyards,Agri-food,Trade Mission (Incoming),0,Wolfville,Kings,B4P2R1,2018 - 2019,-64.403589,45.013938,POINT (-64.403589 45.013938)
