Region,Region Type,Year,Reliance on Government Transfers,Uncollected Taxes,3 Year Change in Tax Base,Reliance on Single Business or Instituion,Residential Tax Effort,Total # of Deficits,Total # of Budget Accuracy within + or - 5% ,Liquidity,Operating Reserve,Debt Service Cost,Outstanding Operating Debt,Undepreciated Assets,Combined Operating   Capital Reserves
Digby,Town,2016-17,0.099,0.115,0.036,0.053,0.051,0,5,2.7,0.218,0.066,0,0.497,0.364
Kentville,Town,2016-17,0.028,0.027,0.061,0.024,0.037,0,5,4.2,0.156,0.097,0,0.604,1.313
Lockeport,Town,2016-17,0.184,0.105,0.087,0.135,0.033,2,1,1.7,0.061,0.073,0,0.364,0.188
Lunenburg,Town,2016-17,0.014,0.069,0.066,0.027,0.049,0,5,1.2,0.062,0.052,0,0.545,0.325
Mahone Bay,Town,2016-17,0.024,0.054,0.097,0.015,0.046,0,4,6.4,0.126,0.05,0,0.505,0.421
Middleton,Town,2016-17,0.118,0.088,0.058,0.012,0.046,0,2,4.5,0.15,0.103,0,0.56,0.427
Mulgrave,Town,2016-17,0.101,0.061,0.028,0.191,0.022,1,2,2.8,0.065,0.034,0,0.325,0.427
New Glasgow,Town,2016-17,0.09,0.113,0.076,0.032,0.04,0,5,1.2,0.052,0.098,0.236,0.543,0.084
Oxford,Town,2016-17,0.098,0.027,0.031,0.242,0.029,0,5,1.9,0.145,0.139,0,0.519,0.185
Pictou,Town,2016-17,0.106,0.146,0.06,0.023,0.038,1,5,1.3,0.067,0.088,0.185,0.565,0.115
Port Hawkesbury,Town,2016-17,0.068,0.075,-0.013,0.069,0.027,0,5,7,0.259,0.105,0,0.536,0.417
Shelburne,Town,2016-17,0.132,0.085,0.085,0.038,0.041,0,3,2.1,0.208,0.026,0,0.444,0.26
Stellarton,Town,2016-17,0.091,0.088,0.113,0.053,0.031,0,5,2.2,0.214,0.067,0,0.51,0.369
Stewiacke,Town,2016-17,0.133,0.072,0.181,0.017,0.039,1,2,2.3,0.093,0.078,0,0.514,0.411
Trenton,Town,2016-17,0.114,0.103,0.04,0.16,0.029,0,5,1.3,0.096,0.029,0.116,0.483,0.139
Truro,Town,2016-17,0.099,0.089,0.055,0.019,0.04,1,5,1.3,0.049,0.104,0.186,0.646,0.117
Westville,Town,2016-17,0.2,0.116,0.099,0.01,0.033,0,4,1.6,0.064,0.111,0,0.539,0.162
Windsor,Town,2016-17,0.077,0.076,0.057,0.027,0.046,0,3,3.5,0.387,0.077,0,0.708,0.866
Wolfville,Town,2016-17,0.019,0.049,0.119,0.006,0.041,0,4,2.7,0.245,0.067,0,0.58,0.537
Yarmouth,Town,2016-17,0.059,0.072,-0.008,0.042,0.043,1,4,4.3,0.161,0.036,0,0.623,0.213
Annapolis,Rural Municipality,2016-17,0.06,0.051,0.092,0.011,0.023,0,4,1.4,0.143,0.044,0.069,0.533,0.477
Antigonish,Rural Municipality,2016-17,0.008,0.05,0.134,0.014,0.017,1,3,1.8,0.3,0.028,0,0.59,1.283
Argyle,Rural Municipality,2016-17,0.045,0.05,0.054,0.016,0.017,0,4,4.6,0.77,0.026,0,0.654,1.376
Barrington,Rural Municipality,2016-17,0.045,0.138,0.042,0.007,0.017,0,5,5.6,0.134,0.028,0,0.577,0.381
Chester,Rural Municipality,2016-17,0.013,0.092,0.091,0.003,0.032,0,2,6.2,0.669,0.118,0,0.389,0.659
Clare,Rural Municipality,2016-17,0.049,0.071,0.078,0.008,0.018,1,4,1.6,0.07,0.044,0,0.551,0.466
Colchester,Rural Municipality,2016-17,0.064,0.075,0.1,0.013,0.02,1,4,3.5,0.216,0.097,0.077,0.564,0.273
Cumberland,Rural Municipality,2016-17,0.077,0.137,0.126,0.023,0.021,2,4,1.2,0.161,0.029,0.147,0.774,0.388
Digby,Rural Municipality,2016-17,0.053,0.099,0.102,0.053,0.022,0,2,5.2,0.078,0.024,0,0.684,0.121
East Hants,Rural Municipality,2016-17,0.022,0.04,0.144,0.01,0.026,0,2,2.2,0.55,0.099,0.186,0.678,0.692
Guysborough,Rural Municipality,2016-17,0.03,0.034,-0.011,0.169,0.012,0,3,6,1.292,0.07,0,0.581,1.624
Inverness,Rural Municipality,2016-17,0.061,0.144,0.072,0.013,0.016,0,5,4.5,0.924,0.024,0,0.615,1.275
Kings,Rural Municipality,2016-17,0.005,0.042,0.098,0.024,0.021,0,5,2,0.248,0.04,0,0.502,0.798
Lunenburg,Rural Municipality,2016-17,0.005,0.068,0.089,0.004,0.023,0,4,1.8,0.649,0.067,0,0.804,0.926
Pictou,Rural Municipality,2016-17,0.019,0.04,0.109,0.029,0.018,0,4,2.2,0.269,0,0,0.729,0.305
Richmond,Rural Municipality,2016-17,0.003,0.194,0.019,0.087,0.014,1,4,2,0.328,0.052,0.135,0.618,0.425
Shelburne,Rural Municipality,2016-17,0.056,0.075,0.067,0.013,0.021,1,2,4.2,0.395,0,0,0.561,0.865
St. Mary's,Rural Municipality,2016-17,0.099,0.097,0.022,0.107,0.013,3,5,3.1,0.662,0.065,0,0.639,0.876
Victoria,Rural Municipality,2016-17,0.017,0.187,0.059,0.074,0.022,0,4,2.2,0.301,0.01,0,0.704,0.456
West Hants,Rural Municipality,2016-17,0.02,0.101,0.1,0.009,0.023,0,5,2.3,0.078,0.062,0,0.688,0.176
Yarmouth,Rural Municipality,2016-17,0.068,0.079,0.045,0.01,0.025,0,2,6.5,0.643,0.032,0,0.624,0.893
