Region,Region Type,Year,Reliance on Government Transfers,Uncollected Taxes,3 Year Change in Tax Base,Reliance on Single Business or Instituion,Residential Tax Effort,Total # of Deficits,Total # of Budget Accuracy within + or - 5% ,Liquidity,Operating Reserve,Debt Service Cost,Outstanding Operating Debt,Undepreciated Assets,Combined Operating   Capital Reserves
CBRM,Regional Municipality,2019-20,0.121,0.148,0.071,0.016,0.029,0,5,1.3,0.078,0.103,0.082,0.605,0.115
HRM,Regional Municipality,2019-20,0.014,0.039,0.089,0.017,0.037,0,5,1.6,0.11,0.057,0.002,0.484,0.34
Queens,Regional Municipality,2019-20,0.074,0.055,0.046,0.039,0.029,0,5,10.1,0.576,0.024,0,0.644,0.917
Amherst,Town,2019-20,0.105,0.059,0.029,0.016,0.036,0,3,3.1,0.226,0.079,0,0.583,0.317
Annapolis Royal,Town,2019-20,0.118,0.027,0.141,0.172,0.045,0,3,7,0.292,0.01,0,0.516,0.58
Antigonish,Town,2019-20,0.022,0.049,0.006,0.017,0.035,1,5,1.4,0.14,0.059,0,0.568,0.298
Berwick,Town,2019-20,0.075,0.045,0.055,0.044,0.033,0,3,1.2,0.098,0.088,0.221,0.544,0.236
Bridgewater,Town,2019-20,0.06,0.098,0.025,0.049,0.047,0,4,2.3,0.343,0.051,0,0.495,0.396
Clark's Harbour,Town,2019-20,0.172,0.066,0.039,0.043,0.027,1,4,1.2,0.044,0.046,0,0.386,0.36
Digby,Town,2019-20,0.09,0.077,0.029,0.051,0.052,0,5,2.8,0.344,0.045,0,0.482,0.497
Kentville,Town,2019-20,0.028,0.028,0.03,0.023,0.04,0,5,2.1,0.095,0.098,0,0.572,1.204
Lockeport,Town,2019-20,0.146,0.092,0.048,0.138,0.038,2,2,2.1,0.249,0.075,0,0.385,0.381
Lunenburg,Town,2019-20,0.01,0.08,0.051,0.025,0.053,0,5,1.1,0.059,0.073,0,0.575,0.321
Mahone Bay,Town,2019-20,0.023,0.077,0.034,0.014,0.05,0,3,1.1,0.049,0.043,0,0.501,0.552
Middleton,Town,2019-20,0.121,0.044,0.016,0.011,0.049,1,2,1.8,0.094,0.094,0.053,0.503,0.328
Mulgrave,Town,2019-20,0.09,0.116,0.087,0.181,0.022,0,4,2.5,0.19,0.024,0,0.331,0.589
New Glasgow,Town,2019-20,0.088,0.092,0.014,0.033,0.04,0,5,1.8,0.14,0.123,0.042,0.509,0.16
Oxford,Town,2019-20,0.132,0.047,0.073,0.288,0.033,2,4,1,0.093,0.153,0.021,0.456,0.175
Pictou,Town,2019-20,0.102,0.169,-0.02,0.025,0.038,0,4,3.1,0.118,0.065,0.03,0.521,0.249
Port Hawkesbury,Town,2019-20,0.087,0.049,0.003,0.067,0.028,0,4,4.9,0.38,0.087,0,0.536,0.375
Shelburne,Town,2019-20,0.129,0.087,0.02,0.04,0.046,0,3,1.5,0.08,0.053,0,0.524,0.213
Stellarton,Town,2019-20,0.085,0.054,-0.013,0.05,0.031,0,4,2.3,0.228,0.076,0,0.508,0.382
Stewiacke,Town,2019-20,0.112,0.067,0.064,0.015,0.04,2,1,4.5,0.686,0.079,0,0.537,0.63
Trenton,Town,2019-20,0.118,0.106,0.067,0.222,0.034,1,5,1.4,0.068,0.105,0,0.508,0.098
Truro,Town,2019-20,0.099,0.054,0.017,0.02,0.044,0,5,1.5,0.083,0.081,0.075,0.578,0.176
Westville,Town,2019-20,0.196,0.081,0.006,0.01,0.033,0,3,1.3,0.052,0.094,0,0.486,0.188
Windsor,Town,2019-20,0.074,0.079,0.017,0.042,0.049,1,3,2.9,0.374,0.11,0.071,0.66,0.667
Wolfville,Town,2019-20,0.02,0.07,0.046,0.006,0.043,0,5,3.6,0.251,0.073,0,0.583,0.467
Yarmouth,Town,2019-20,0.052,0.079,0.011,0.042,0.045,2,5,2.1,0.22,0.024,0,0.573,0.309
Annapolis,Rural Municipality,2019-20,0.058,0.055,0.055,0.013,0.026,2,5,1,0.1,0.017,0.109,0.564,0.463
